session_id,user_id,session_date,week_number,device_type,traffic_source,landing_page,signup_completed
S1_00066,U8665,2024-02-07,1,mobile,organic,pricing,False
S1_00067,U8775,2024-02-06,1,mobile,social,product,False
S1_00068,U9851,2024-02-10,1,mobile,direct,product,True
S1_00069,U6612,2024-02-07,1,mobile,direct,product,True
S1_00070,U3399,2024-02-07,1,desktop,social,product,False
S1_00071,U4514,2024-02-11,1,mobile,direct,pricing,False
S1_00072,U2540,2024-02-08,1,tablet,organic,homepage,False
S1_00073,U7717,2024-02-07,1,mobile,organic,pricing,True
S1_00074,U7887,2024-02-07,1,mobile,social,product,False
S1_00075,U2108,2024-02-11,1,mobile,organic,pricing,False
S1_00076,U9600,2024-02-11,1,desktop,organic,homepage,True
S1_00077,U7792,2024-02-07,1,desktop,organic,pricing,True
S1_00078,U6137,2024-02-11,1,desktop,organic,homepage,False
S1_00079,U8896,2024-02-08,1,desktop,organic,pricing,True
S1_00080,U3076,2024-02-06,1,mobile,direct,pricing,False
S1_00081,U4461,2024-02-05,1,desktop,organic,product,False
S1_00082,U5171,2024-02-06,1,desktop,paid_search,product,False
S1_00083,U8040,2024-02-09,1,mobile,organic,pricing,False
S1_00084,U4510,2024-02-08,1,mobile,organic,pricing,False
S1_00085,U5522,2024-02-11,1,mobile,paid_search,product,False
S1_00086,U7289,2024-02-09,1,mobile,organic,homepage,True
S1_00087,U5547,2024-02-06,1,mobile,organic,product,False
S1_00088,U1369,2024-02-10,1,mobile,organic,pricing,True
S1_00089,U4430,2024-02-10,1,desktop,direct,pricing,False
S1_00090,U8884,2024-02-11,1,desktop,organic,product,False
S1_00091,U6805,2024-02-10,1,mobile,social,homepage,False
S1_00092,U8311,2024-02-09,1,mobile,paid_search,product,False
S1_00093,U4960,2024-02-09,1,desktop,organic,homepage,False
S1_00094,U5036,2024-02-06,1,desktop,organic,homepage,False
S1_00095,U4294,2024-02-05,1,mobile,organic,product,False
S1_00096,U7197,2024-02-10,1,mobile,paid_search,product,True
S1_00097,U8099,2024-02-10,1,tablet,social,pricing,False
S1_00098,U8414,2024-02-06,1,mobile,social,product,False
S1_00099,U7155,2024-02-06,1,mobile,paid_search,product,False
S1_00100,U346,2024-02-09,1,desktop,direct,homepage,False
S1_00101,U5603,2024-02-09,1,desktop,organic,pricing,False
S1_00102,U2868,2024-02-07,1,mobile,social,pricing,False
S1_00103,U446,2024-02-10,1,desktop,paid_search,homepage,False
S1_00104,U5840,2024-02-11,1,mobile,paid_search,product,True
S1_00105,U3892,2024-02-06,1,mobile,social,product,False
S1_00106,U302,2024-02-07,1,mobile,paid_search,product,False
S1_00107,U7661,2024-02-08,1,mobile,paid_search,pricing,False
S1_00108,U9928,2024-02-05,1,mobile,paid_search,pricing,False
S1_00109,U97,2024-02-08,1,mobile,organic,product,False
S1_00110,U1906,2024-02-06,1,desktop,social,product,False
S1_00111,U3968,2024-02-11,1,mobile,paid_search,homepage,False
S1_00112,U1785,2024-02-09,1,mobile,organic,homepage,False
S1_00113,U782,2024-02-05,1,mobile,social,homepage,False
S1_00114,U2558,2024-02-07,1,mobile,social,homepage,True
S1_00115,U5922,2024-02-05,1,desktop,organic,homepage,False
S1_00116,U2305,2024-02-09,1,mobile,social,product,False
S1_00117,U6594,2024-02-06,1,mobile,paid_search,product,False
S1_00118,U8211,2024-02-05,1,mobile,organic,homepage,False
S1_00119,U4336,2024-02-06,1,mobile,organic,product,True
S1_00120,U1604,2024-02-08,1,mobile,paid_search,homepage,False
S1_00121,U1293,2024-02-09,1,mobile,organic,product,False
S1_00122,U3108,2024-02-08,1,desktop,paid_search,product,True
S1_00123,U5414,2024-02-07,1,desktop,social,pricing,False
S1_00124,U2756,2024-02-05,1,mobile,social,homepage,False
S1_00125,U3719,2024-02-10,1,mobile,direct,pricing,False
S1_00126,U4745,2024-02-07,1,tablet,organic,pricing,False
S1_00127,U6767,2024-02-07,1,desktop,social,product,False
S1_00128,U3130,2024-02-06,1,desktop,organic,product,True
S1_00129,U20,2024-02-07,1,desktop,organic,homepage,True
S1_00130,U8537,2024-02-07,1,desktop,direct,pricing,False
S1_00131,U8498,2024-02-07,1,mobile,organic,homepage,True
S1_00132,U5084,2024-02-05,1,desktop,organic,pricing,False
S1_00133,U1158,2024-02-05,1,mobile,paid_search,pricing,False
S1_00134,U1753,2024-02-10,1,tablet,organic,pricing,False
S1_00135,U5537,2024-02-05,1,desktop,organic,homepage,False
S1_00136,U6161,2024-02-06,1,mobile,paid_search,product,False
S1_00137,U5486,2024-02-08,1,mobile,social,product,False
S1_00138,U2229,2024-02-07,1,mobile,social,pricing,False
S1_00139,U7851,2024-02-06,1,desktop,social,pricing,False
S1_00140,U9124,2024-02-11,1,mobile,organic,pricing,True
S1_00141,U9470,2024-02-07,1,desktop,organic,pricing,True
S1_00142,U2049,2024-02-05,1,mobile,organic,product,False
S1_00143,U5693,2024-02-07,1,desktop,organic,product,True
S1_00144,U4152,2024-02-05,1,mobile,organic,product,False
S1_00145,U259,2024-02-05,1,mobile,organic,pricing,False
S1_00146,U698,2024-02-07,1,mobile,paid_search,homepage,False
S1_00147,U1515,2024-02-10,1,mobile,organic,product,False
S1_00148,U8483,2024-02-11,1,mobile,social,product,False
S1_00149,U9686,2024-02-06,1,mobile,organic,homepage,False
S1_00150,U641,2024-02-07,1,mobile,paid_search,pricing,False
S1_00151,U4329,2024-02-10,1,mobile,social,product,False
S1_00152,U5136,2024-02-11,1,mobile,paid_search,homepage,False
S1_00153,U5448,2024-02-05,1,desktop,organic,homepage,False
S1_00154,U3620,2024-02-10,1,mobile,paid_search,homepage,False
S1_00155,U2230,2024-02-07,1,mobile,paid_search,homepage,False
S1_00156,U5200,2024-02-11,1,desktop,direct,homepage,False
S1_00157,U5600,2024-02-08,1,mobile,organic,product,True
S1_00158,U7637,2024-02-08,1,desktop,paid_search,homepage,False
S1_00159,U1367,2024-02-07,1,mobile,social,pricing,False
S1_00160,U7071,2024-02-07,1,desktop,direct,product,False
S1_00161,U573,2024-02-09,1,desktop,organic,homepage,False
S1_00162,U8061,2024-02-05,1,mobile,social,homepage,False
S1_00163,U6015,2024-02-11,1,tablet,social,homepage,True
S1_00164,U5786,2024-02-11,1,tablet,organic,homepage,False
S1_00165,U604,2024-02-07,1,tablet,organic,pricing,False
S1_00166,U2017,2024-02-10,1,desktop,organic,product,False
S1_00167,U4160,2024-02-06,1,mobile,social,homepage,True
S1_00168,U2044,2024-02-06,1,desktop,social,homepage,False
S1_00169,U1279,2024-02-09,1,desktop,direct,pricing,False
S1_00170,U4287,2024-02-11,1,mobile,paid_search,homepage,False
S1_00171,U1754,2024-02-07,1,mobile,paid_search,pricing,False
S1_00172,U6008,2024-02-09,1,mobile,organic,homepage,True
S1_00173,U4708,2024-02-07,1,mobile,social,product,False
S1_00174,U8780,2024-02-09,1,mobile,social,pricing,False
S1_00175,U9931,2024-02-08,1,desktop,organic,pricing,True
S1_00176,U424,2024-02-06,1,mobile,organic,product,False
S1_00177,U6693,2024-02-07,1,mobile,organic,pricing,False
S1_00178,U4495,2024-02-09,1,desktop,organic,product,False
S1_00179,U6183,2024-02-06,1,mobile,paid_search,product,False
S1_00180,U3948,2024-02-06,1,desktop,organic,pricing,False
S1_00181,U2488,2024-02-10,1,mobile,paid_search,pricing,False
S1_00182,U3404,2024-02-08,1,mobile,paid_search,homepage,False
S1_00183,U9683,2024-02-06,1,mobile,organic,product,False
S1_00184,U5577,2024-02-07,1,desktop,direct,pricing,False
S1_00185,U5939,2024-02-10,1,mobile,paid_search,homepage,False
S1_00186,U1723,2024-02-07,1,desktop,paid_search,pricing,False
S1_00187,U2449,2024-02-10,1,mobile,paid_search,product,False
S1_00188,U1154,2024-02-08,1,mobile,paid_search,product,False
S1_00189,U3455,2024-02-05,1,desktop,direct,pricing,True
S1_00190,U7022,2024-02-08,1,mobile,direct,homepage,False
S1_00191,U1246,2024-02-06,1,desktop,organic,pricing,False
S1_00192,U133,2024-02-05,1,desktop,organic,homepage,False
S1_00193,U4896,2024-02-05,1,desktop,organic,product,False
S1_00194,U3764,2024-02-07,1,mobile,direct,pricing,False
S1_00195,U6801,2024-02-11,1,mobile,paid_search,product,False
S1_00196,U3392,2024-02-05,1,desktop,social,pricing,True
S1_00197,U5645,2024-02-06,1,mobile,organic,product,False
S1_00198,U300,2024-02-10,1,mobile,social,pricing,False
S1_00199,U9525,2024-02-08,1,desktop,social,product,False
S1_00200,U7445,2024-02-06,1,mobile,organic,product,False
S1_00201,U6448,2024-02-05,1,mobile,paid_search,pricing,False
S1_00202,U589,2024-02-07,1,mobile,organic,homepage,False
S1_00203,U6692,2024-02-11,1,mobile,social,product,False
S1_00204,U9657,2024-02-11,1,mobile,paid_search,pricing,False
S1_00205,U587,2024-02-10,1,desktop,organic,product,False
S1_00206,U7879,2024-02-08,1,mobile,organic,product,False
S1_00207,U3547,2024-02-05,1,mobile,organic,homepage,False
S1_00208,U9242,2024-02-07,1,mobile,organic,product,False
S1_00209,U206,2024-02-11,1,desktop,organic,product,False
S1_00210,U8658,2024-02-06,1,mobile,organic,homepage,False
S1_00211,U751,2024-02-09,1,mobile,social,homepage,False
S1_00212,U7804,2024-02-11,1,mobile,social,homepage,False
S1_00213,U7318,2024-02-10,1,mobile,organic,product,False
S1_00214,U2123,2024-02-05,1,mobile,paid_search,pricing,False
S1_00215,U7808,2024-02-11,1,mobile,social,product,True
S1_00216,U3453,2024-02-05,1,mobile,social,product,False
S1_00217,U1279,2024-02-06,1,mobile,organic,homepage,False
S1_00218,U3912,2024-02-09,1,mobile,social,homepage,False
S1_00219,U4490,2024-02-10,1,desktop,paid_search,homepage,False
S1_00220,U2891,2024-02-11,1,mobile,paid_search,product,False
S1_00221,U3459,2024-02-09,1,desktop,organic,pricing,False
S1_00222,U1903,2024-02-06,1,desktop,social,homepage,True
S1_00223,U7516,2024-02-07,1,mobile,social,homepage,False
S1_00224,U5155,2024-02-05,1,tablet,paid_search,homepage,False
S1_00225,U6521,2024-02-07,1,mobile,paid_search,product,False
S1_00226,U8756,2024-02-08,1,mobile,paid_search,product,False
S1_00227,U6818,2024-02-11,1,mobile,organic,product,False
S1_00228,U9234,2024-02-07,1,mobile,direct,homepage,False
S1_00229,U1448,2024-02-08,1,mobile,paid_search,product,False
S1_00230,U156,2024-02-11,1,mobile,paid_search,homepage,False
S1_00231,U6808,2024-02-05,1,desktop,direct,pricing,False
S1_00232,U3439,2024-02-08,1,mobile,paid_search,product,False
S1_00233,U2220,2024-02-08,1,mobile,paid_search,homepage,False
S1_00234,U9356,2024-02-08,1,mobile,organic,pricing,False
S1_00235,U5368,2024-02-05,1,desktop,organic,pricing,False
S1_00236,U7398,2024-02-05,1,desktop,paid_search,pricing,True
S1_00237,U666,2024-02-11,1,mobile,direct,homepage,False
S1_00238,U8239,2024-02-08,1,mobile,paid_search,homepage,False
S1_00239,U5237,2024-02-10,1,mobile,paid_search,product,False
S1_00240,U5405,2024-02-11,1,mobile,paid_search,pricing,False
S1_00241,U5241,2024-02-10,1,mobile,paid_search,pricing,False
S1_00242,U4143,2024-02-09,1,mobile,paid_search,product,True
S1_00243,U4182,2024-02-05,1,mobile,paid_search,pricing,False
S1_00244,U5157,2024-02-05,1,desktop,social,homepage,False
S1_00245,U8409,2024-02-11,1,mobile,organic,homepage,False
S1_00246,U9744,2024-02-09,1,mobile,organic,product,False
S1_00247,U7344,2024-02-10,1,mobile,paid_search,pricing,False
S1_00248,U436,2024-02-08,1,desktop,paid_search,pricing,False
S1_00249,U5015,2024-02-11,1,desktop,paid_search,homepage,False
S1_00250,U1338,2024-02-06,1,desktop,social,pricing,False
S1_00251,U6219,2024-02-08,1,mobile,organic,homepage,False
S1_00252,U788,2024-02-07,1,desktop,social,product,False
S1_00253,U8711,2024-02-11,1,desktop,direct,product,False
S1_00254,U3903,2024-02-07,1,tablet,paid_search,product,False
S1_00255,U5999,2024-02-08,1,desktop,social,product,False
S1_00256,U6787,2024-02-08,1,mobile,paid_search,homepage,False
S1_00257,U302,2024-02-06,1,mobile,paid_search,pricing,False
S1_00258,U6404,2024-02-11,1,mobile,organic,pricing,False
S1_00259,U9681,2024-02-11,1,mobile,organic,product,False
S1_00260,U1699,2024-02-06,1,desktop,paid_search,homepage,False
S1_00261,U4342,2024-02-11,1,mobile,organic,homepage,False
S1_00262,U7703,2024-02-08,1,desktop,paid_search,product,False
S1_00263,U378,2024-02-08,1,desktop,paid_search,homepage,True
S1_00264,U6816,2024-02-06,1,mobile,organic,pricing,False
S1_00265,U2058,2024-02-08,1,desktop,social,pricing,False
S1_00266,U8589,2024-02-05,1,mobile,social,homepage,False
S1_00267,U4179,2024-02-07,1,mobile,organic,pricing,False
S1_00268,U7677,2024-02-07,1,mobile,paid_search,homepage,False
S1_00269,U1560,2024-02-10,1,mobile,organic,pricing,False
S1_00270,U9225,2024-02-11,1,mobile,paid_search,homepage,False
S1_00271,U9476,2024-02-07,1,mobile,organic,product,False
S1_00272,U8180,2024-02-10,1,desktop,direct,homepage,False
S1_00273,U977,2024-02-06,1,desktop,paid_search,homepage,False
S1_00274,U1401,2024-02-06,1,desktop,organic,product,False
S1_00275,U9672,2024-02-07,1,desktop,organic,pricing,False
S1_00276,U6380,2024-02-10,1,mobile,organic,pricing,False
S1_00277,U1726,2024-02-08,1,desktop,organic,product,True
S1_00278,U3429,2024-02-11,1,tablet,organic,homepage,False
S1_00279,U9535,2024-02-05,1,mobile,organic,pricing,True
S1_00280,U7984,2024-02-11,1,desktop,social,homepage,False
S1_00281,U4050,2024-02-11,1,mobile,social,homepage,False
S1_00282,U3204,2024-02-11,1,mobile,paid_search,pricing,False
S1_00283,U3036,2024-02-06,1,mobile,paid_search,product,False
S1_00284,U7264,2024-02-06,1,desktop,paid_search,homepage,True
S1_00285,U5780,2024-02-05,1,desktop,organic,pricing,False
S1_00286,U7450,2024-02-09,1,mobile,social,homepage,False
S1_00287,U9566,2024-02-06,1,mobile,social,product,False
S1_00288,U2217,2024-02-09,1,mobile,paid_search,homepage,False
S1_00289,U6504,2024-02-09,1,desktop,organic,pricing,False
S1_00290,U6206,2024-02-09,1,mobile,paid_search,product,False
S1_00291,U7534,2024-02-06,1,mobile,social,product,False
S1_00292,U6847,2024-02-11,1,mobile,direct,product,False
S1_00293,U6788,2024-02-07,1,mobile,paid_search,homepage,False
S1_00294,U4072,2024-02-06,1,mobile,social,homepage,False
S1_00295,U7004,2024-02-11,1,tablet,social,homepage,False
S1_00296,U7134,2024-02-08,1,mobile,social,product,False
S1_00297,U6038,2024-02-07,1,desktop,paid_search,homepage,False
S1_00298,U7813,2024-02-10,1,mobile,paid_search,product,False
S1_00299,U8367,2024-02-08,1,tablet,paid_search,homepage,False
S1_00300,U9098,2024-02-05,1,mobile,paid_search,pricing,False
S1_00301,U6768,2024-02-08,1,mobile,paid_search,pricing,False
S1_00302,U8410,2024-02-09,1,desktop,organic,homepage,False
S1_00303,U483,2024-02-11,1,mobile,organic,homepage,False
S1_00304,U7703,2024-02-06,1,mobile,paid_search,pricing,False
S1_00305,U4086,2024-02-05,1,desktop,social,homepage,False
S1_00306,U7070,2024-02-07,1,desktop,paid_search,pricing,False
S1_00307,U5453,2024-02-08,1,mobile,organic,homepage,False
S1_00308,U6640,2024-02-09,1,desktop,organic,pricing,False
S1_00309,U5888,2024-02-05,1,mobile,organic,product,True
S1_00310,U1322,2024-02-06,1,desktop,paid_search,pricing,False
S1_00311,U8025,2024-02-05,1,mobile,paid_search,pricing,False
S1_00312,U7504,2024-02-06,1,desktop,direct,pricing,False
S1_00313,U1214,2024-02-06,1,mobile,social,product,False
S1_00314,U7261,2024-02-10,1,desktop,organic,product,False
S1_00315,U2238,2024-02-06,1,desktop,organic,product,False
S1_00316,U2557,2024-02-09,1,mobile,social,homepage,False
S1_00317,U7791,2024-02-05,1,mobile,organic,homepage,False
S1_00318,U6729,2024-02-11,1,mobile,direct,product,False
S1_00319,U310,2024-02-08,1,desktop,social,product,False
S1_00320,U8524,2024-02-05,1,mobile,paid_search,product,True
S1_00321,U8897,2024-02-10,1,mobile,organic,product,False
S1_00322,U4690,2024-02-06,1,desktop,organic,homepage,False
S1_00323,U1927,2024-02-11,1,desktop,paid_search,pricing,False
S1_00324,U8568,2024-02-08,1,mobile,direct,pricing,False
S1_00325,U9952,2024-02-07,1,desktop,paid_search,pricing,True
S1_00326,U4689,2024-02-11,1,mobile,organic,pricing,False
S1_00327,U5386,2024-02-06,1,mobile,social,product,False
S1_00328,U3207,2024-02-11,1,mobile,direct,product,False
S1_00329,U4359,2024-02-06,1,mobile,organic,pricing,False
S1_00330,U2379,2024-02-07,1,desktop,paid_search,product,False
S1_00331,U4686,2024-02-11,1,mobile,organic,homepage,False
S1_00332,U7076,2024-02-08,1,mobile,organic,pricing,False
S1_00333,U1115,2024-02-07,1,mobile,organic,product,False
S1_00334,U584,2024-02-07,1,tablet,paid_search,product,False
S1_00335,U7328,2024-02-08,1,desktop,social,pricing,False
S1_00336,U3926,2024-02-09,1,desktop,paid_search,homepage,False
S1_00337,U9490,2024-02-11,1,mobile,organic,homepage,False
S1_00338,U8012,2024-02-09,1,desktop,organic,product,False
S1_00339,U7061,2024-02-05,1,mobile,organic,pricing,True
S1_00340,U665,2024-02-05,1,mobile,social,pricing,False
S1_00341,U7173,2024-02-06,1,mobile,organic,pricing,False
S1_00342,U4238,2024-02-09,1,mobile,organic,pricing,False
S1_00343,U8384,2024-02-11,1,tablet,paid_search,pricing,False
S1_00344,U1838,2024-02-08,1,desktop,organic,homepage,False
S1_00345,U7291,2024-02-11,1,desktop,organic,pricing,False
S1_00346,U9748,2024-02-11,1,mobile,paid_search,product,False
S1_00347,U1103,2024-02-06,1,desktop,organic,pricing,False
S1_00348,U2912,2024-02-05,1,mobile,organic,homepage,False
S1_00349,U7288,2024-02-05,1,desktop,organic,pricing,False
S1_00350,U6413,2024-02-07,1,tablet,organic,pricing,False
S1_00351,U8989,2024-02-07,1,mobile,social,homepage,False
S1_00352,U6550,2024-02-07,1,mobile,paid_search,pricing,False
S1_00353,U3845,2024-02-07,1,mobile,organic,product,False
S1_00354,U487,2024-02-08,1,mobile,paid_search,product,False
S1_00355,U1672,2024-02-09,1,desktop,social,product,False
S1_00356,U886,2024-02-11,1,mobile,social,product,False
S1_00357,U5517,2024-02-07,1,desktop,paid_search,product,False
S1_00358,U1836,2024-02-10,1,tablet,organic,homepage,True
S1_00359,U7358,2024-02-09,1,desktop,paid_search,homepage,False
S1_00360,U9578,2024-02-09,1,mobile,organic,product,False
S1_00361,U4464,2024-02-05,1,mobile,paid_search,product,False
S1_00362,U8927,2024-02-09,1,mobile,social,homepage,False
S1_00363,U5171,2024-02-11,1,desktop,organic,product,True
S1_00364,U3196,2024-02-11,1,desktop,organic,product,True
S1_00365,U1456,2024-02-05,1,mobile,paid_search,pricing,False
S1_00366,U5712,2024-02-05,1,mobile,organic,pricing,False
S1_00367,U6016,2024-02-07,1,mobile,social,product,False
S1_00368,U6383,2024-02-09,1,mobile,social,homepage,False
S1_00369,U5245,2024-02-05,1,desktop,paid_search,pricing,False
S1_00370,U5017,2024-02-10,1,tablet,paid_search,pricing,False
S1_00371,U672,2024-02-11,1,mobile,organic,pricing,False
S1_00372,U4147,2024-02-07,1,mobile,paid_search,product,False
S1_00373,U5436,2024-02-08,1,desktop,organic,pricing,False
S1_00374,U8855,2024-02-06,1,mobile,social,homepage,False
S1_00375,U4789,2024-02-06,1,mobile,organic,homepage,False
S1_00376,U9904,2024-02-07,1,mobile,social,homepage,False
S1_00377,U618,2024-02-05,1,desktop,paid_search,homepage,False
S1_00378,U4117,2024-02-07,1,mobile,organic,pricing,False
S1_00379,U78,2024-02-09,1,desktop,organic,product,False
S1_00380,U6176,2024-02-07,1,desktop,organic,homepage,True
S1_00381,U2082,2024-02-11,1,desktop,social,homepage,False
S1_00382,U2860,2024-02-08,1,tablet,paid_search,product,False
S1_00383,U8653,2024-02-06,1,mobile,organic,homepage,False
S1_00384,U7114,2024-02-06,1,desktop,organic,product,False
S1_00385,U7982,2024-02-05,1,desktop,paid_search,homepage,False
S1_00386,U6244,2024-02-11,1,mobile,social,homepage,False
S1_00387,U8838,2024-02-08,1,mobile,paid_search,product,False
S1_00388,U8286,2024-02-08,1,desktop,paid_search,product,True
S1_00389,U1686,2024-02-09,1,desktop,organic,homepage,False
S1_00390,U2317,2024-02-09,1,desktop,paid_search,pricing,False
S1_00391,U4978,2024-02-06,1,mobile,social,pricing,False
S1_00392,U6849,2024-02-10,1,mobile,organic,pricing,False
S1_00393,U5963,2024-02-09,1,mobile,organic,homepage,False
S1_00394,U5840,2024-02-10,1,mobile,organic,product,False
S1_00395,U3426,2024-02-07,1,mobile,social,pricing,False
S1_00396,U956,2024-02-11,1,mobile,social,pricing,False
S1_00397,U5580,2024-02-09,1,desktop,direct,homepage,False
S1_00398,U5204,2024-02-07,1,mobile,organic,product,False
S1_00399,U4505,2024-02-06,1,mobile,social,homepage,False
S1_00400,U2922,2024-02-08,1,mobile,paid_search,product,False
S1_00401,U3554,2024-02-06,1,mobile,social,homepage,False
S1_00402,U6839,2024-02-06,1,mobile,organic,pricing,False
S1_00403,U5193,2024-02-06,1,desktop,paid_search,product,False
S1_00404,U2366,2024-02-05,1,desktop,paid_search,pricing,False
S1_00405,U3017,2024-02-10,1,mobile,organic,homepage,False
S1_00406,U9726,2024-02-11,1,tablet,social,product,False
S1_00407,U3405,2024-02-10,1,mobile,paid_search,product,False
S1_00408,U9982,2024-02-10,1,desktop,social,pricing,False
S1_00409,U1498,2024-02-07,1,mobile,organic,pricing,False
S1_00410,U8634,2024-02-09,1,desktop,paid_search,pricing,False
S1_00411,U518,2024-02-11,1,desktop,organic,product,False
S1_00412,U6908,2024-02-10,1,desktop,paid_search,pricing,False
S1_00413,U6405,2024-02-09,1,mobile,paid_search,homepage,False
S1_00414,U5598,2024-02-11,1,desktop,organic,product,False
S1_00415,U4718,2024-02-07,1,desktop,organic,product,False
S1_00416,U8514,2024-02-05,1,mobile,organic,homepage,False
S1_00417,U1830,2024-02-06,1,mobile,paid_search,pricing,True
S1_00418,U2128,2024-02-05,1,mobile,social,pricing,False
S1_00419,U7594,2024-02-09,1,desktop,social,pricing,False
S1_00420,U2953,2024-02-07,1,mobile,organic,product,True
S1_00421,U5508,2024-02-08,1,desktop,organic,product,False
S1_00422,U74,2024-02-09,1,mobile,organic,homepage,False
S1_00423,U9220,2024-02-07,1,desktop,paid_search,product,False
S1_00424,U5425,2024-02-11,1,mobile,paid_search,homepage,False
S1_00425,U6616,2024-02-10,1,mobile,social,product,True
S1_00426,U676,2024-02-06,1,mobile,direct,homepage,False
S1_00427,U5053,2024-02-11,1,desktop,paid_search,pricing,False
S1_00428,U9393,2024-02-10,1,desktop,social,product,False
S1_00429,U7013,2024-02-10,1,mobile,social,pricing,False
S1_00430,U2660,2024-02-05,1,mobile,direct,product,False
S1_00431,U1335,2024-02-11,1,mobile,social,homepage,False
S1_00432,U4015,2024-02-07,1,mobile,organic,homepage,True
S1_00433,U9648,2024-02-05,1,mobile,organic,homepage,False
S1_00434,U1407,2024-02-06,1,tablet,social,product,False
S1_00435,U5639,2024-02-10,1,desktop,paid_search,pricing,False
S1_00436,U917,2024-02-11,1,mobile,organic,product,False
S1_00437,U1341,2024-02-06,1,mobile,organic,product,True
S1_00438,U9589,2024-02-06,1,mobile,organic,product,False
S1_00439,U3809,2024-02-09,1,desktop,organic,homepage,False
S1_00440,U7040,2024-02-10,1,desktop,paid_search,product,False
S1_00441,U3456,2024-02-05,1,mobile,social,pricing,False
